images,bbx,det_class,det_score
440708552_black.jpg,"[104.92307165265083, 80.53951120376587, 273.5132183730602, 512.4604887962341]",dresses,0.99223256
440760332_black.jpg,"[0.0, 48.60934475064278, 221.69284063577652, 393.9415962398052]",dresses,0.9585768
440781954_black.jpg,"[0.0, 45.4800084233284, 209.41476225852966, 392.2312071919441]",dresses,0.8864315
440789513_darkblue.jpg,"[0.0, 55.45570793747902, 207.72618499398232, 349.41743764281273]",dresses,0.94683266
460006706_black.jpg,"[20.253003239631653, 99.50028038024902, 276.05398535728455, 478.34863567352295]",dresses,0.9931932
460009210_navyblue.jpg,"[96.69660887122154, 98.8840129673481, 287.6134101450443, 494.1159870326519]",dresses,0.9919081
460015445_blue.jpg,"[123.21819812059402, 75.74630057811737, 236.99010705947876, 498.24705171585083]",dresses,0.9926076
460018759_multi.jpg,"[120.23738074302673, 78.82495138049126, 249.5213303565979, 494.0135909616947]",dresses,0.99210805
460021514_greymelange.jpg,"[119.87219685316086, 36.76467835903168, 199.03934466838837, 539.5168744325638]",dresses,0.99314123
460023193_turquoise.jpg,"[127.39594918489456, 30.832686990499496, 198.8939533829689, 552.0844987928867]",dresses,0.9938397
460088159_offwhite.jpg,"[25.725404918193817, 74.31646686792374, 254.93438577651978, 495.54134953022003]",dresses,0.99227726
460090579_red.jpg,"[84.11022597551346, 61.4278165102005, 303.73629438877106, 494.1770111322403]",dresses,0.9933488
460130474_orange.jpg,"[0.0, 34.06931474804878, 234.11340641975403, 494.53129729628563]",dresses,0.95394003
460142898_brown.jpg,"[16.22815689444542, 38.16552871465683, 267.32962015271187, 505.1498617529869]",dresses,0.99210733
